provider,url,http,status,extraction,offers,note
IONOS,https://www.ionos.com/servers/vps,200,ok,jsonld:product,1,
Hostinger,https://www.hostinger.com/vps-hosting,200,ok,jsonld:product,4,
OVHcloud,https://www.ovhcloud.com/en/vps/,200,ok,regex,1,
DigitalOcean,https://www.digitalocean.com/pricing,200,ok,regex,1,
Hostwinds,https://www.hostwinds.com/vps/,200,ok,regex,1,
ScalaHosting,https://www.scalahosting.com/,200,ok,regex,1,
GreenGeeks,https://www.greengeeks.com/vps-hosting,200,ok,jsonld:product,3,
DreamHost,https://www.dreamhost.com/hosting/vps/,200,ok,regex,1,
InMotion Hosting,https://www.inmotionhosting.com/vps-hosting,200,ok,jsonld:offer,6,
UltaHost,https://ultahost.com/vps-hosting,200,ok,jsonld:product,1,
Cloudzy,https://cloudzy.com/vps-hosting/,200,ok,regex,2,
SSD Nodes,https://www.ssdnodes.com/pricing/,200,ok,jsonld:product,1,
BuyVM,https://buyvm.net/kvm-dedicated-server-slices/,200,ok,regex,2,
TransIP,https://www.transip.eu/vps/,200,ok,regex,1,
Verpex,https://verpex.com/vps-hosting,200,ok,jsonld:offer,4,
